right_image,center_image,left_image,linear_velocity,angular_velocity
data/right_000000.jpg,data/center_000000.jpg,data/left_000000.jpg,0.0,0.0
data/right_000001.jpg,data/center_000001.jpg,data/left_000001.jpg,0.0,0.0
data/right_000002.jpg,data/center_000002.jpg,data/left_000002.jpg,0.0,0.0
data/right_000003.jpg,data/center_000003.jpg,data/left_000003.jpg,0.0,0.0
data/right_000004.jpg,data/center_000004.jpg,data/left_000004.jpg,0.0,0.0
data/right_000005.jpg,data/center_000005.jpg,data/left_000005.jpg,0.0,0.0
data/right_000006.jpg,data/center_000006.jpg,data/left_000006.jpg,0.0,0.0
data/right_000007.jpg,data/center_000007.jpg,data/left_000007.jpg,0.0,0.0
data/right_000008.jpg,data/center_000008.jpg,data/left_000008.jpg,0.0,0.0
data/right_000009.jpg,data/center_000009.jpg,data/left_000009.jpg,0.0,0.0
data/right_000010.jpg,data/center_000010.jpg,data/left_000010.jpg,0.0,0.0
data/right_000011.jpg,data/center_000011.jpg,data/left_000011.jpg,0.0,0.0
data/right_000012.jpg,data/center_000012.jpg,data/left_000012.jpg,0.0,0.0
data/right_000013.jpg,data/center_000013.jpg,data/left_000013.jpg,0.0,0.0
data/right_000014.jpg,data/center_000014.jpg,data/left_000014.jpg,0.0,0.0
data/right_000015.jpg,data/center_000015.jpg,data/left_000015.jpg,0.0,0.0
data/right_000016.jpg,data/center_000016.jpg,data/left_000016.jpg,0.0,0.0
data/right_000017.jpg,data/center_000017.jpg,data/left_000017.jpg,0.0,0.0
data/right_000018.jpg,data/center_000018.jpg,data/left_000018.jpg,0.0,0.0
data/right_000019.jpg,data/center_000019.jpg,data/left_000019.jpg,0.0,0.0
data/right_000020.jpg,data/center_000020.jpg,data/left_000020.jpg,0.0,0.0
data/right_000021.jpg,data/center_000021.jpg,data/left_000021.jpg,0.0,0.0
data/right_000022.jpg,data/center_000022.jpg,data/left_000022.jpg,0.0,0.0
data/right_000023.jpg,data/center_000023.jpg,data/left_000023.jpg,0.0,0.0
data/right_000024.jpg,data/center_000024.jpg,data/left_000024.jpg,0.0,0.0
data/right_000025.jpg,data/center_000025.jpg,data/left_000025.jpg,0.0,0.0
data/right_000026.jpg,data/center_000026.jpg,data/left_000026.jpg,0.0,0.0
data/right_000027.jpg,data/center_000027.jpg,data/left_000027.jpg,0.0,0.0
data/right_000028.jpg,data/center_000028.jpg,data/left_000028.jpg,0.0,0.0
data/right_000029.jpg,data/center_000029.jpg,data/left_000029.jpg,0.0,0.0
data/right_000030.jpg,data/center_000030.jpg,data/left_000030.jpg,0.0,0.0
data/right_000031.jpg,data/center_000031.jpg,data/left_000031.jpg,0.0,0.0
data/right_000032.jpg,data/center_000032.jpg,data/left_000032.jpg,0.0,0.0
data/right_000033.jpg,data/center_000033.jpg,data/left_000033.jpg,0.0,0.0
data/right_000034.jpg,data/center_000034.jpg,data/left_000034.jpg,0.0,0.0
data/right_000035.jpg,data/center_000035.jpg,data/left_000035.jpg,0.0,0.0
data/right_000036.jpg,data/center_000036.jpg,data/left_000036.jpg,0.0,0.0
data/right_000037.jpg,data/center_000037.jpg,data/left_000037.jpg,0.1098767777691683,0.0
